# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,wrew,connect,reuse,cache_lookups,cache_hits,srv_icur,src_ilim,qtime_max,ctime_max,rtime_max,ttime_max,eint,idle_conn_cur,safe_conn_cur,used_conn_cur,need_conn_est,uweight,agg_server_status,agg_server_check_status,agg_check_status,-,ssl_sess,ssl_reused_sess,ssl_failed_handshake,h2_headers_rcvd,h2_data_rcvd,h2_settings_rcvd,h2_rst_stream_rcvd,h2_goaway_rcvd,h2_detected_conn_protocol_errors,h2_detected_strm_protocol_errors,h2_rst_stream_resp,h2_goaway_resp,h2_open_connections,h2_backend_open_streams,h2_total_connections,h2_backend_total_streams,
RejsRundt,FRONTEND,,,0,64,524259,5000,675698,829230,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,,,0,0,0,203,,,,0,5000,0,0,158,0,,0,220,5158,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,203,5000,0,0,0,0,,,0,0,,,,,,,0,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Servers,server1,0,0,0,3,,692,87115,106141,,0,,7,0,27,0,UP,1,1,0,12,4,28,44,,1,3,1,,665,,2,0,,61,L4OK,,0,0,658,0,0,0,0,,,,658,0,0,,,,,16,,,0,9,1,34,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,692,0,,,0,,0,3003,18,3004,0,0,0,0,3,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server2,0,0,0,2,,874,110564,134810,,0,,8,4,30,0,UP,1,1,0,13,5,28,46,,1,3,2,,844,,2,0,,124,L4OK,,0,0,833,0,0,0,0,,,,833,0,0,,,,,16,,,0,8,1,34,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,874,0,,,0,,0,3004,16,3005,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server3,0,0,0,2,,842,92355,114697,,0,,44,1,137,0,UP,1,1,0,12,4,20,46,,1,3,3,,705,,2,0,,89,L4OK,,0,0,660,0,0,0,0,,,,660,0,0,,,,,16,,,0,8,1,9,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,842,0,,,0,,0,3032,14,3033,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server4,0,0,0,2,,465,56854,69578,,0,,9,2,31,0,DOWN,1,1,0,14,4,16,58,,1,3,4,,434,,2,0,,30,L4CON,,0,0,424,0,0,0,0,,,,424,0,0,,,,,16,Connection refused,,0,10,2,11,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,465,0,,,0,,0,3003,8,3004,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server5,0,0,0,2,,367,44147,54105,,0,,9,0,30,0,UP,1,1,0,12,4,20,52,,1,3,5,,337,,2,0,,41,L4OK,,0,0,328,0,0,0,0,,,,328,0,0,,,,,16,,,0,10,3,19,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,367,0,,,0,,0,2003,503,2005,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server6,0,0,0,3,,645,80041,97729,,0,,10,0,34,0,DOWN,1,1,0,12,4,22,60,,1,3,6,,611,,2,0,,71,L4CON,,0,0,601,0,0,0,0,,,,601,0,0,,,,,19,Connection refused,,0,7,2,29,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,645,0,,,0,,0,3003,24,3004,0,0,0,0,3,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server7,0,0,0,3,,226,25283,31093,,0,,7,0,33,0,UP,1,1,0,15,5,19,54,,1,3,7,,193,,2,0,,50,L4OK,,0,0,186,0,0,0,0,,,,186,0,0,,,,,16,,,0,65,2,67,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,226,0,,,0,,0,3005,16,3008,0,0,0,0,3,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server8,0,0,0,2,,664,76504,94414,,0,,26,1,80,0,UP,1,1,0,9,3,19,42,,1,3,8,,584,,2,0,,41,L4OK,,0,0,557,0,0,0,0,,,,557,0,0,,,,,16,,,0,4,1,9,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,664,0,,,0,,0,1002,12,2000,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server9,0,0,0,3,,425,50697,62163,,0,,10,1,38,0,DOWN,1,1,0,15,4,21,61,,1,3,9,,387,,2,0,,56,L4CON,,0,0,376,0,0,0,0,,,,376,0,0,,,,,19,Connection refused,,0,22,2,50,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,425,0,,,0,,0,3004,8,3005,0,0,0,0,3,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server10,0,0,0,2,,410,50173,61245,,0,,6,0,27,0,UP,1,1,0,11,3,19,46,,1,3,10,,383,,2,0,,51,L4OK,,0,0,377,0,0,0,0,,,,377,0,0,,,,,16,,,0,24,2,31,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,410,0,,,0,,0,3003,10,3008,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,BACKEND,0,0,0,54,52426,5158,675698,829230,0,0,,151,9,467,0,UP,7,7,0,,2,30,26,,1,3,0,,5143,,1,0,,220,,,,0,5000,0,0,158,0,,,,5158,0,0,0,0,0,0,16,,,0,28,1,58,,,,,,,,,,,,,,http,,,,,,,,0,5610,0,0,0,,,0,3032,503,3033,0,,,,,7,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
