# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,wrew,connect,reuse,cache_lookups,cache_hits,srv_icur,src_ilim,qtime_max,ctime_max,rtime_max,ttime_max,eint,idle_conn_cur,safe_conn_cur,used_conn_cur,need_conn_est,uweight,agg_server_status,agg_server_check_status,agg_check_status,-,ssl_sess,ssl_reused_sess,ssl_failed_handshake,h2_headers_rcvd,h2_data_rcvd,h2_settings_rcvd,h2_rst_stream_rcvd,h2_goaway_rcvd,h2_detected_conn_protocol_errors,h2_detected_strm_protocol_errors,h2_rst_stream_resp,h2_goaway_resp,h2_open_connections,h2_backend_open_streams,h2_total_connections,h2_backend_total_streams,
RejsRundt,FRONTEND,,,0,9,524259,5000,655000,795000,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,,,0,0,0,173,,,,0,5000,0,0,0,0,,0,173,5000,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,173,5000,0,0,0,0,,,0,0,,,,,,,0,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Servers,server1,0,0,0,2,,496,64976,78864,,0,,0,0,0,0,UP,1,1,0,3,1,76,104,,1,3,1,,496,,2,0,,16,L4OK,,0,0,496,0,0,0,0,,,,496,0,0,,,,,11,,,0,1,2,2,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,496,0,,,0,,0,16,8,21,0,0,0,0,3,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server2,0,0,0,2,,497,65107,79023,,0,,0,0,0,0,UP,1,1,0,3,1,76,106,,1,3,2,,497,,2,0,,17,L4OK,,0,0,497,0,0,0,0,,,,497,0,0,,,,,11,,,0,1,2,2,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,497,0,,,0,,0,1,17,18,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server3,0,0,0,2,,498,65238,79182,,0,,0,0,0,0,UP,1,1,0,3,1,78,104,,1,3,3,,498,,2,0,,18,L4OK,,0,0,498,0,0,0,0,,,,498,0,0,,,,,11,,,0,1,2,2,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,498,0,,,0,,0,8,10,19,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server4,0,0,0,3,,503,65893,79977,,0,,0,0,0,0,UP,1,1,0,0,0,78,412,,1,3,4,,503,,2,0,,17,L4OK,,0,0,503,0,0,0,0,,,,503,0,0,,,,,11,,,0,1,2,2,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,503,0,,,0,,0,16,18,42,0,0,0,0,3,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server5,0,0,0,2,,502,65762,79818,,0,,0,0,0,0,UP,1,1,0,3,1,78,112,,1,3,5,,502,,2,0,,18,L4OK,,0,0,502,0,0,0,0,,,,502,0,0,,,,,11,,,0,1,2,2,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,502,0,,,0,,0,5,12,13,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server6,0,0,0,2,,500,65500,79500,,0,,0,0,0,0,UP,1,1,0,0,0,77,415,,1,3,6,,500,,2,0,,17,L4OK,,0,0,500,0,0,0,0,,,,500,0,0,,,,,11,,,0,1,2,2,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,500,0,,,0,,0,10,31,33,0,0,0,0,3,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server7,0,0,0,2,,501,65631,79659,,0,,0,0,0,0,UP,1,1,0,3,1,77,114,,1,3,7,,501,,2,0,,17,L4OK,,0,0,501,0,0,0,0,,,,501,0,0,,,,,11,,,0,1,2,2,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,501,0,,,0,,0,13,5,19,0,0,0,0,3,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server8,0,0,0,2,,505,66155,80295,,0,,0,0,0,0,UP,1,1,0,3,1,77,102,,1,3,8,,505,,2,0,,17,L4OK,,0,0,505,0,0,0,0,,,,505,0,0,,,,,11,,,0,1,2,2,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,505,0,,,0,,0,17,19,21,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server9,0,0,0,2,,498,65238,79182,,0,,0,0,0,0,UP,1,1,0,0,0,77,416,,1,3,9,,498,,2,0,,17,L4OK,,0,0,498,0,0,0,0,,,,498,0,0,,,,,11,,,0,1,2,2,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,498,0,,,0,,0,31,18,32,0,0,0,0,3,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server10,0,0,0,2,,500,65500,79500,,0,,0,0,0,0,UP,1,1,0,3,1,77,106,,1,3,10,,500,,2,0,,18,L4OK,,0,0,500,0,0,0,0,,,,500,0,0,,,,,11,,,0,1,2,2,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,500,0,,,0,,0,5,15,21,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,BACKEND,0,0,0,8,52426,5000,655000,795000,0,0,,0,0,0,0,UP,10,10,0,,3,78,84,,1,3,0,,5000,,1,0,,173,,,,0,5000,0,0,0,0,,,,5000,0,0,0,0,0,0,11,,,0,0,2,2,,,,,,,,,,,,,,http,,,,,,,,0,5000,0,0,0,,,0,31,31,42,0,,,,,10,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
stats,FRONTEND,,,1,0,524259,0,17965,1684089,0,0,0,,,,,OPEN,,,,,,,,,1,4,0,,,,0,0,0,0,,,,0,43,0,0,0,0,,1,2,44,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,0,0,44,0,0,0,,,0,0,,,,,,,0,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
stats,BACKEND,0,0,0,0,52426,0,17965,1684089,0,0,,0,0,0,0,UP,0,0,0,,0,1801,,,1,4,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,421,,,,,,,,,,,,,,http,,,,,,,,0,0,0,0,0,,,0,0,0,8792,0,,,,,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
