# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,wrew,connect,reuse,cache_lookups,cache_hits,srv_icur,src_ilim,qtime_max,ctime_max,rtime_max,ttime_max,eint,idle_conn_cur,safe_conn_cur,used_conn_cur,need_conn_est,uweight,agg_server_status,agg_server_check_status,agg_check_status,-,ssl_sess,ssl_reused_sess,ssl_failed_handshake,h2_headers_rcvd,h2_data_rcvd,h2_settings_rcvd,h2_rst_stream_rcvd,h2_goaway_rcvd,h2_detected_conn_protocol_errors,h2_detected_strm_protocol_errors,h2_rst_stream_resp,h2_goaway_resp,h2_open_connections,h2_backend_open_streams,h2_total_connections,h2_backend_total_streams,
RejsRundt,FRONTEND,,,0,21,524259,5000,666397,813847,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,,,0,0,0,161,,,,0,5000,0,0,87,0,,0,161,5087,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,161,5000,0,0,0,0,,,0,0,,,,,,,0,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Servers,server1,0,0,0,2,,187,20567,25485,,0,,9,0,30,0,DOWN,1,1,0,10,4,119,151,,1,3,1,,157,,2,0,,16,L4CON,,0,0,148,0,0,0,0,,,,148,0,0,,,,,119,Connection refused,,0,21,5,27,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,187,0,,,0,,0,3005,502,3007,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server2,0,0,0,2,,367,43361,53325,,0,,12,0,36,0,DOWN,1,1,0,10,4,113,141,,1,3,2,,331,,2,0,,39,L4CON,,0,0,319,0,0,0,0,,,,319,0,0,,,,,111,Connection refused,,0,1,5,6,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,367,0,,,0,,0,1,503,504,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server3,0,0,0,2,,260,30130,37092,,0,,9,0,30,0,DOWN,1,1,0,10,4,121,145,,1,3,3,,230,,2,0,,19,L4CON,,0,0,221,0,0,0,0,,,,221,0,0,,,,,120,Connection refused,,0,14,4,19,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,260,0,,,0,,0,3004,503,3006,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server4,0,0,0,2,,76,7205,9201,,0,,7,2,21,0,DOWN,1,1,0,10,4,123,161,,1,3,4,,55,,2,0,,9,L4CON,,0,0,47,0,0,0,0,,,,47,0,0,,,,,122,Connection refused,,0,1,15,16,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,76,0,,,0,,0,1,508,509,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server5,0,0,0,2,,592,71657,87943,,0,,15,3,45,0,DOWN,1,1,0,10,4,111,133,,1,3,5,,547,,2,0,,64,L4CON,,0,0,530,0,0,0,0,,,,530,0,0,,,,,109,Connection refused,,0,1,2,7,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,592,0,,,0,,0,20,130,2003,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server6,0,0,0,2,,307,36287,44623,,0,,10,0,30,0,DOWN,1,1,0,9,3,116,136,,1,3,6,,277,,2,0,,18,L4CON,,0,0,267,0,0,0,0,,,,267,0,0,,,,,114,Connection refused,,0,1,7,8,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,307,0,,,0,,0,1,505,506,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server7,0,0,0,2,,91,9563,11955,,0,,6,0,18,0,DOWN,1,1,0,9,3,118,154,,1,3,7,,73,,2,0,,13,L4CON,,0,0,67,0,0,0,0,,,,67,0,0,,,,,118,Connection refused,,0,1,9,10,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,91,0,,,0,,0,15,501,502,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server8,0,0,0,11,,3085,404135,490515,,0,,0,0,0,0,UP,1,1,0,0,0,225,0,,1,3,8,,3085,,2,0,,162,L4OK,,0,0,3085,0,0,0,0,,,,3085,0,0,,,,,108,,,0,0,1,8,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,3085,0,,,0,,0,1043,203,2009,0,0,0,0,11,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server9,0,0,0,2,,93,9825,12273,,0,,6,0,18,0,DOWN,1,1,0,9,3,120,152,,1,3,9,,75,,2,0,,10,L4CON,,0,0,69,0,0,0,0,,,,69,0,0,,,,,119,Connection refused,,0,1,16,17,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,93,0,,,0,,0,1,503,504,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server10,0,0,0,2,,287,33667,41435,,0,,9,1,30,0,DOWN,1,1,0,9,3,116,144,,1,3,10,,257,,2,0,,29,L4CON,,0,0,247,0,0,0,0,,,,247,0,0,,,,,114,Connection refused,,0,13,4,17,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,287,0,,,0,,0,3004,501,3006,0,0,0,0,2,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,BACKEND,0,0,0,13,52426,5087,666397,813847,0,0,,83,6,258,0,UP,1,1,0,,0,225,0,,1,3,0,,5087,,1,0,,161,,,,0,5000,0,0,87,0,,,,5087,0,0,0,0,0,0,108,,,0,1,2,8,,,,,,,,,,,,,,http,,,,,,,,0,5345,0,0,0,,,0,3005,508,3007,0,,,,,1,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
stats,FRONTEND,,,1,1,524259,1,17945,1810742,0,0,0,,,,,OPEN,,,,,,,,,1,4,0,,,,0,0,0,1,,,,0,45,0,0,0,0,,1,2,46,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,1,1,46,0,0,0,,,0,0,,,,,,,0,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
stats,BACKEND,0,0,0,0,52426,0,17945,1810742,0,0,,0,0,0,0,UP,0,0,0,,0,225,,,1,4,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,394,,,,,,,,,,,,,,http,,,,,,,,0,0,0,0,0,,,0,0,0,5656,0,,,,,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
