# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,wrew,connect,reuse,cache_lookups,cache_hits,srv_icur,src_ilim,qtime_max,ctime_max,rtime_max,ttime_max,eint,idle_conn_cur,safe_conn_cur,used_conn_cur,need_conn_est,uweight,agg_server_status,agg_server_check_status,agg_check_status,-,ssl_sess,ssl_reused_sess,ssl_failed_handshake,h2_headers_rcvd,h2_data_rcvd,h2_settings_rcvd,h2_rst_stream_rcvd,h2_goaway_rcvd,h2_detected_conn_protocol_errors,h2_detected_strm_protocol_errors,h2_rst_stream_resp,h2_goaway_resp,h2_open_connections,h2_backend_open_streams,h2_total_connections,h2_backend_total_streams,
RejsRundt,FRONTEND,,,0,158,524259,5000,655000,795000,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,,,0,0,0,392,,,,0,5000,0,0,0,0,,0,393,5000,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,393,5000,0,0,0,0,,,0,0,,,,,,,0,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Servers,server1,0,0,0,31,,959,125629,152481,,0,,0,0,0,0,UP,1,1,0,1,1,178,4,,1,3,1,,959,,2,0,,81,L4OK,,0,0,959,0,0,0,0,,,,959,0,0,,,,,56,,,0,70,21,95,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,959,0,,,0,,0,3151,449,3165,0,0,0,0,31,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server2,0,0,0,32,,989,129559,157251,,0,,0,0,0,0,UP,1,1,0,1,1,178,4,,1,3,2,,989,,2,0,,82,L4OK,,0,0,989,0,0,0,0,,,,989,0,0,,,,,56,,,0,79,20,103,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,989,0,,,0,,0,3124,341,3129,0,0,0,0,32,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server3,0,0,0,31,,1058,138598,168222,,0,,0,0,0,0,UP,1,1,0,1,1,178,4,,1,3,3,,1058,,2,0,,87,L4OK,,0,0,1058,0,0,0,0,,,,1058,0,0,,,,,56,,,0,51,19,74,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,1058,0,,,0,,0,1103,505,1612,0,0,0,0,31,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server4,0,0,0,31,,993,130083,157887,,0,,0,0,0,0,UP,1,1,0,1,1,177,4,,1,3,4,,993,,2,0,,66,L4OK,,0,0,993,0,0,0,0,,,,993,0,0,,,,,56,,,0,60,20,84,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,993,0,,,0,,0,1120,486,1593,0,0,0,0,31,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server5,0,0,0,31,,1001,131131,159159,,0,,0,0,0,0,UP,1,1,0,1,1,177,4,,1,3,5,,1001,,2,0,,58,L4OK,,0,0,1001,0,0,0,0,,,,1001,0,0,,,,,56,,,0,57,20,81,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,1001,0,,,0,,0,1120,486,1589,0,0,0,0,31,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server6,0,0,0,0,,0,0,0,,0,,0,0,0,0,DOWN,1,1,0,1,1,181,181,,1,3,6,,0,,2,0,,0,L4CON,,0,0,0,0,0,0,0,,,,0,0,0,,,,,-1,Connection refused,,0,0,0,0,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,0,0,,,0,,0,0,0,0,0,0,0,0,1,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server7,0,0,0,0,,0,0,0,,0,,0,0,0,0,DOWN,1,1,0,1,1,181,181,,1,3,7,,0,,2,0,,0,L4CON,,0,0,0,0,0,0,0,,,,0,0,0,,,,,-1,Connection refused,,0,0,0,0,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,0,0,,,0,,0,0,0,0,0,0,0,0,1,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server8,0,0,0,0,,0,0,0,,0,,0,0,0,0,DOWN,1,1,0,1,1,181,181,,1,3,8,,0,,2,0,,0,L4CON,,0,0,0,0,0,0,0,,,,0,0,0,,,,,-1,Connection refused,,0,0,0,0,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,0,0,,,0,,0,0,0,0,0,0,0,0,1,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server9,0,0,0,0,,0,0,0,,0,,0,0,0,0,DOWN,1,1,0,1,1,180,180,,1,3,9,,0,,2,0,,0,L4CON,,0,0,0,0,0,0,0,,,,0,0,0,,,,,-1,Connection refused,,0,0,0,0,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,0,0,,,0,,0,0,0,0,0,0,0,0,1,1,,,,-,0,0,0,,,,,,,,,,,,,,
